Task,Category,Priority,Status,Due Date,Notes
Plan next week,Planning,High,Not Started,,Sunday reset ritual
Reply to priority emails,Work,Medium,Not Started,,
Meal prep,Health,Medium,Not Started,,
30 min walk,Health,Low,Not Started,,
Weekly budget review,Finance,High,Not Started,,See Finance Tracker
Call a friend,Relationships,Low,Not Started,,
Read 20 pages,Growth,Low,Not Started,,See Learning Log
Declutter one drawer,Home,Low,Not Started,,
Review goals progress,Planning,High,Not Started,,See Goals database
Backup phone photos,Admin,Medium,Not Started,,
